"","V1"
"1",4.47103557455625
"2",3.91993629894441
"3",5.6127292693242
"4",6.7728360342215
"5",6.44687848264626
"6",2.88374898421155
"7",4.39868348547713
"8",9.23422227173383
"9",2.54038542504466
"10",6.20279194171986
"11",8.70191202396233
"12",3.38876645236666
"13",10.8947855479406
"14",6.5342049184945
"15",4.44081317799563
"16",2.71641689826148
"17",9.45068939031805
"18",5.12961899177543
"19",6.96200474025388
"20",3.94901936747606
"21",11.442356457926
"22",9.23589537299742
"23",5.64768853714244
"24",8.82400579919715
"25",5.92499233345025
"26",5.83671240950436
"27",5.99769201285965
"28",4.90052845211012
"29",4.84163554248676
"30",9.59500837944415
