"","GDPC","HCE","CO2E","IM","HDI"
"Australia",0.878099106926826,0.0628057971933353,2.18195036938104,-0.270895505964521,0.930765882378353
"Austria",-0.650968241802585,0.74914469206873,-0.0944803057739486,-0.432471775027636,0.391325098535542
"Belgium",-0.393380183594462,0.87320993230837,0.141786888452214,-0.312143908367789,0.638568791130164
"Bulgaria",-0.998981194777122,-0.654546933999658,-0.695704575909317,2.34514213700282,-1.85634483414283
"Belarus",-0.0701736201765497,-1.31725381068267,-0.461541135764282,-0.271521732282769,-1.78891473616248
"Canada",0.717104522031583,0.802890680608583,2.02373932336693,0.534621625517794,0.79590568641765
"Switzerland",0.415737265588724,0.828554480825242,-0.716091440911889,-0.0700353430778233,1.35782316958724
"Chile",1.29874222297289,-0.529803145568788,-0.888382784752511,1.91866977692288,-1.15956715501254
"Czech Republic",-0.693376261158229,-0.404782869728406,0.394560653222965,-0.854137328378517,-0.148115685307268
"Germany",-0.406238216293687,1.06976552365752,0.395595583087902,-0.352081275905366,1.04314937901227
"Denmark",-0.111822353729507,0.696848100436555,-0.261365249461173,-0.263552862325773,1.02067267968549
"Spain",-1.51856706750364,0.200657115548034,-0.761385523047937,-0.653939160245662,-0.170592384634052
"Estonia",0.20001676021324,-1.19015881909568,1.71461589689444,-0.684895652571853,-0.170592384634052
"Finland",-1.20161448021493,0.532876611297779,0.291748430793038,-1.07069209670742,0.863335784398002
"France",-0.323846039818946,1.25811927493978,-0.781946220822157,-0.505385852791249,-0.0132554893465654
"United Kingdom",0.456329297591477,0.609549450660827,-0.272086225045579,0.0405936816234715,0.773428987090866
"Greece",-2.16031566227891,-0.114719076218237,-0.394132326560096,-0.178109736309933,-0.372882678575106
"Croatia",-0.881763163568532,-0.947039640838426,-1.07874062739597,0.253438952758899,-1.11461375635897
"Hungary",0.406648605913373,-0.617951002493481,-1.0465018808075,0.483973963814759,-1.0696603577054
"Ireland",0.0863398097673823,0.754191842170691,-0.102508449074993,-0.356712795030684,0.458755196515894
"Iceland",2.03750060338604,-0.200825058069949,-0.483212106657912,-1.20751054318652,0.930765882378353
"Israel",2.17097042184488,-0.694934889629503,0.0521020058769092,-0.360621838425984,0.368848399208759
"Italy",-1.75948711521853,0.0692319449631879,-0.618953342011418,-0.486354844167482,-0.125638985980484
"Japan",0.524674109168131,0.924101334766254,0.470062696076999,-1.09022631656067,0.503708595169461
"Korea, Rep.",1.21334249573886,-1.06861929901751,0.989238986349221,-0.447324741368948,0.301418301228407
"Lithuania",1.44220262918913,-1.12352232368812,-1.12231388849543,0.0838123165950487,-0.75498656713043
"Luxembourg",1.21754827323925,-1.3928155593454,2.76824385434835,-1.01193101086733,0.750952287764083
"Latvia",0.528026347343064,-1.46494312792918,-1.15613843808872,0.705996566777213,-1.00223025972505
"Netherlands",-0.743423495633509,0.883214079348462,0.323262606924751,-0.250844136942746,0.930765882378353
"Norway",-0.0519996580300475,0.13860281473127,-0.0885936384855608,-0.945657810878652,1.38029986891403
"New Zealand",0.934639305573032,0.33247683790245,-0.245042827998269,0.547479425238484,0.930765882378353
"Poland",0.00245348856962643,-0.993455753088888,-0.0714228013271685,0.348304091319739,-0.552696273189376
"Portugal",-1.21405529373424,0.352588169314789,-0.959427303703283,-0.58214512912373,-0.957276861071484
"Russian Federation",0.376395297151529,-1.59391062314789,0.854831703724863,2.24612077853804,-1.58662444222143
"Slovak Republic",-0.27726290499243,-0.505119280440994,-0.532674228260522,0.87007244957017,-0.889846763091132
"Slovenia",-1.27738553735051,0.053405711464982,-0.275374420685752,-0.993195385532552,0.278941601901624
"Sweden",0.0392813772566576,1.02788051050153,-1.01959446517156,-0.928963885676113,0.998195980358704
"Ukraine",-0.639129609044539,-0.756347777651442,-0.569318261412246,2.95934120604912,-2.57559921259991
"United States",0.427738159455212,3.35063408592585,2.09519346912559,1.24378369598928,0.661045490456948
